PK_LOCALIDADE;CODIGO_REGIAO;_NOME_REGIAO;CIDADE;PAIS;ESTADO;CEP
2311328e037cfa192555de10db3da0de94c6e00801b3b486df27507d5afe958b;1;Western;Farmington;US;NM;87401
11e84375ab39fa16d7870092940c8c00a19cfd6b239b0fc6ddc6d53a67c21ad6;3;Northeast;Hermitage;US;PA;16148
b97ad77b47d59f5157984dac98d3cbd3dd13c787b8cdcbb181582d3ee829de43;1;Western;Phoenix;US;AZ;85036
ed505b327c65b927cf781dbf4f77fa6145e9693e57f20481250cd002a56b3cac;5;International;Linares (Jaen);UK;"";23700
81e4fe594c675af027cad16ad23ff401fad99916116ee118da1398f303385553;2;Southern;Ocala;US;FL;34475
89ec123692dd15d1c73cc748eb97ca4c02135c8dc560cbb462dd11c068b918a0;2;Southern;Odessa;US;TX;79764
7e8b651b2e78df9e6f013d45959cd1d5625d97949748c4a292adf37f90e1eb8a;1;Western;Maxwell;US;CA;95955
3cf1d9565ac053815b66344cad0336ee36f9f8e7f300cb13ea04bbe4aa7ffb10;2;Southern;San Antonio;US;TX;78216
1bb7346da7b4aa4a685affdc1371d3471fe7c3055effb932fd5bd59921273486;4;Central;Watervliet;US;MI;49098
a6105052a665dc45d08e0390cfc73dbd2a800083ae993548fef894438152f713;1;Western;Colorado Springs;US;CO;80907
4e0daebfacc5e758ef0e168f10a4c8294fcb272f1c612382bae2ce03d719acfe;1;Western;Tumwater;US;WA;98512
9736fddd58a82d8e72646b1412fbfb14c051230bfaa70b5a3369b6c9d6c87dad;5;International;Taipei;AU;"";104
f1503ec2010d6f2b0cbbe5ac6b10e7053b67798b6e87a5adbcbca4ca6a08e3a7;1;Western;Modesto;US;CA;95351
7262eb93eb9b6eedef3cd9295fc0114987c197d77d2bc5c3c321ddce9be72fd4;4;Central;Grand Rapids;US;MI;49508
cdca2719f3bde4d09f6eafd0174e16f8358a39d9cecd60f6ee3735846fbd7968;5;International;Jakarta Utara;AU;"";\"\"
d3cf43c8fb8e7830cbbc7c57607eb0ec2b7ec3ac36fc1d2b255f60d1fe909843;5;International;Furstentum;AU;"";\"\"
91ed8b8e2028f55498d2ac30b72fc61f0d1d4cd6ba8227224003cdbdea76aaee;1;Western;Corona;US;CA;92880
8df83bca03c95abe215769488d9bbadcb20514e142dd2e6245282df7cad246f3;0;Canada;Burnaby;CA;BC;V2X 3K6
fcdc7edddc6659c66d5e8fb09ec4f2545ec09d79339cf8c908b27a7c0a8aee8f;4;Central;Canton;US;OH;44711-8844
496ac09e2654bc59dd973c3804cb2088ecdb8a99628041323ce83c0682bbb837;4;Central;Southfield;US;MI;48034
63bc5b371530ff63aaeb84e172be24e9a33faf3318d453ccf6131658a1986cad;1;Western;Sparks;US;NV;89431
a7b329358cd3ab8fc080996afc5040300e1c3dcc9414f00bd97706f2758c66e1;4;Central;Sun Prairie;US;WI;53590-2553
41849a8aadf2056952cde524fd1b5d1472534ee845529decb5f57d99df2af858;4;Central;Indianopolis;US;IN;46222
122c84424573859a30fb00b7aa3ad3b9b360d8f8451426995fd9e2a6bc1284b0;1;Western;Corona;US;CA;91720
944171dc565126a65237a3023a138a39c654028c1243cbc0a147110c035b775e;2;Southern;Columbia;US;SC;29202
8ff3c8b14efa5d2c65dbf18943ca01f3c85695d571a3490a1d523a3e8a14e15b;1;Western;Boise;US;ID;83716
0c94b87393aa1b032c12afa083b70ed277a10d79ce939276baca2ab18fcce485;3;Northeast;Philadelphia;US;PA;19132
69aa99cc81e1fe06dc444286a2e9d7d8bbff362806e761f72e7064512bec7af1;4;Central;Columbus;US;OH;43216
872d1e466ba5607ee9513764d663defec99dd44465d34474778027a36dd7a318;0;Canada;Beamsville;CA;ON;L0R 1B0
f9b506c82eca66c8e6530b253ddfece93ed83d695cc9de3e4c7754710dca719f;1;Western;North Highlands;US;CA;95660
c8b7cfb58686c9cf15d57c72a8477e6e1c39cac5de2481a41e6bae3c7734d62f;4;Central;Lansing;US;MI;48906
5f6ad9e01bc2ef137e1decc5f40f47f34349c4260c0ea9d67f4ebd2c41c6e5d9;1;Western;Clackamas;US;OR;97015
cf97cf94eb081525f451d9a0068498104f6e67d53706f553823e836b152fa983;3;Northeast;Wrightsville;US;PA;17368
de990825155351f4be477518c57d07573c4ef7b3bac5d465a768eef99b98c96e;3;Northeast;Hodgdon;US;ME;4730
e2d7f0a9495cc8d60c9c41f258a3ad20a066ed9be15836883044c9f73e4b8659;4;Central;Chicago;US;IL;60680
3fdc1a63cf0ca244f35c38173fab3acc3ea5fbfe26a42d749bb64f0e8c1c75d5;1;Western;Clackamas;US;OR;97015-9733
0d2c18426dad1edfe8944cc46ea45e934afcbef87d3bf51b004b8185f9e85e66;5;International;Asuncion;UK;"";33126-1214
af73f9ab305498b2a1f2e02fd6c7b025fa42dc214752cfd9cce984fd0a793898;1;Western;Prineville;US;OR;97754
97713edf264ec9791bce14f2c29bc8d911bd68b3fc0176d6b6093b6fc87b679a;3;Northeast;Frederick;US;MD;21704
6b30192f34643d8cfc7f07034e59dc39071cf057be6ddae30e5d728019656968;4;Central;Crestwood;US;IL;60445-2205
4ee5dd061f2ef1abf2f5e2be94f474cd0b0c4861573785353c5ac73644da9108;1;Western;Sacramento;US;CA;95821
6317d4c8405e1318d05de54e65b0a6c7f250be884f3c8e54ea2c0456dc3790ab;4;Central;Hamel;US;MN;55340-0700
db868e5bad629f5fea640cfa61badfee2db3ba8f7e7513acf49ae1c75c4694ef;1;Western;Fresno;US;CA;93725
a525a2f4e1162e5c211440f6555b8d0e0a4b89424cc4876ac62d47be01435f3f;2;Southern;Little Rock;US;AR;72219
d26d0bfab8144ee8739972aba8e2c12e5e24d505d9f35f1b9de0e2d938a3fa72;2;Southern;Cleveland;US;TX;77327
f6cd08307e0666776b00b985e2f746a0d66e5e999037778aa47b8f7c96570ad8;4;Central;Middlebury;US;IN;46540
a7b1e43bb72ce463f9feb2f8b70ab6f6d9b362c52129a1ee89464b30134ba342;5;International;Quezon City;IR;"";1114
ffb744cc2a826d82cf6dfaf35e56640f5cf3198433c11cd5533d69ca0d809f77;2;Southern;Mebane;US;NC;27302
b2484fceae32890e7f01c722a9bf858138180b18f122fe0c8c0eaa041fa1adac;4;Central;St Louis;US;MO;63109
e250e968b6c1301581029e903176e1f64df12e7cd8416659f889d628c000cbef;5;International;Kanagawa;AU;"";249-0008
10095c6dfaa74f36bb5383475c0f9d8ca439ff9f204080a60cc850d1d10fd948;2;Southern;Te Rapa Hamilton;US;MS;\"\"
215e08c3c7ac6b874e2c92523df4d2dda1fd3bfb0f33bec453ef2c6cb026408f;1;Western;Hillsboro;US;OR;97123
7620ca029c754223a645fc3e04f0565c3666afa91ce8118d2d1175955465fb3c;4;Central;Appleton;US;WI;54913
8b957890b0ea9946ba8ab9e30d1ffb7748421cefab4a92384cb725bc96eb0235;5;International;San Jose;UK;"";\"\"
2333a6fbfa0bea0eccf8bfecaa65c73e7e22b46f9bbebc0bed0466b1729055cd;1;Western;Gardena;US;CA;90248
ad0a8730f463b30b596451b2ffe0ab1f40b243a76d1a3d9dd28e0f56ef91bcc1;3;Northeast;Glen Burnie;US;MD;21061
90a277a997bd3e60c2c36340ea495b90c3ea05a8ec15360a7f8b50ba4554c33e;5;International;4100 Porto;UK;"";\"\"
6378166a884e21a4c7d47ba265ceb212087cfd715f9668dc705187f70d214aed;0;Canada;Edmonton;CA;AB;T6B 0A8
79052b0cebca40701f993be17aae6d9cf670e9f834f3fcc7b623aa9e856f7319;1;Western;Wheatridge;US;CO;80033
ac57d69e543d40aec69b849c5ac887946d14e0df2c190b74575c87ae10077af0;2;Southern;Shelby;US;NC;28152
6888dae9b111c34a65d282033ee6a10b95042d64541120ebb5e90f5e7f35c7c8;3;Northeast;Waldorf;US;MD;20601
9bc3076a560390e11eceea2c00370d5bab7ae9535c8c23a34d7aa09e3bb61dea;1;Western;Tulare;US;CA;93274
f0b03c48824cbe2960499a1b0a4b9efa41ca1713cd8aeea0c36b2ba12ace8008;2;Southern;Birmingham;US;AL;35210
c7e0cae8c3cd5591bf3f87000b2dc117d38bbe6737b870619c5d28d135b88618;3;Northeast;Vinton;US;VA;24179
