PK_TEMPO;DIA;MES;ANO
bb30e8d735c87bc0c571412a4a2f99de5e72c48744bea73d813100a3694747d9;18;10;2018
3c10562f824a4b04555b2d8065cad29bf6397ef621c81e9512890a1a968a8fe5;21;04;2017
9a6a0f4c90f1a4ea524a946caf0458f8fac101eb261c0f6ba65bf5a3a7e26f99;19;08;2018
28d85cbabc241f48fe2c517d0ac464ab3bde1d1be6fdc5cb59fb846da7f01b12;23;09;2018
0ec25fb1ca8ff3354e0e11fea83386b41acd12a0e4e42153d4d507f4d3b4431f;21;03;2017
43b04b0cc5664a74b06dfcd3e42d049c1b6ecf86c6e058f0a68e484fd2f85ae3;07;04;2018
fe4fd2fc9d46b7fe0abc4d720d77c1d93f37e3d6c8270f71d0edf4487477cdbc;01;05;2017
677c38781b489d125cb4fe26bbd1b363c1ead6950e8499e25be89ebce22e65df;28;09;2018
cc75a167a20ce129d45bc4c9788ec9c840ac67b3b412dfc24dab4634987fa9aa;26;02;2018
f9d751612171b27c53aa338350c5b80afca0413493e8ef6a0b06655f2d9e88f7;21;01;2018
c6f00294b9c38359c394d878121091df3777f7bd56ee633e368ce87a5737a781;30;08;2017
b57bf38f61231315f22fcc7a2722d34376477c3ae512e7402909388ee7336820;01;01;2019
2dd42a163e37295c62528b08fc8d132a7c7daee30e3f7dfdb2436fa817c825e8;12;04;2017
9c527e0c13ffc79d0f2b21f530bc40665234ecc40c4427b1612b90f61a00e3cf;15;01;2018
258dd8565c1889b91fcead6ace6c5d72c329cde2f42f4bd6bd489b6712876fd2;14;06;2018
e8a9056131191ca00271e9e57f640748dea4688bfadc96f883f20f3c254a52d0;17;03;2019
377294c25460402e38d3b263df5db2522bd3af933e95360903f646f04e5b56b4;15;10;2018
2be2e1513bae7c3ee7991bdb86bc3524613b8700d3b7a2946d7c57d7e648a9b1;30;05;2017
3081be912a0729a574a3b976b595026da4a80a34111af3e9ce81b9314bcab501;07;11;2017
1127b0bba4343b6913f4d72313a3d74f05083a9bf5dd3e4e2ce16bc3fd6e7f80;17;03;2017
712e6e6fbdf94e643fcd1972563359bea9a1b3f27acf10123574a75503816198;05;09;2017
a346905fdce616d0e0107c4635ba6708817a0e9f22c0d7e7bc385f9711680ea6;25;11;2018
f854f2dc57b1ff51214ede5fb71c8128929fa1f3c78fe54dbbda3da451d634e8;23;03;2017
14520ec32da4f0a95ac1003c4a30add842886683cc37ae3911df3b9341054faa;13;01;2019
a52734fdb210d5632be85150e28a74b32ea4e89eb6b96f4b7f6552bcbd0ae2d2;23;06;2017
11ceccca9de8776cf09c887b44fca21edcfee16f32bc9d7fc7e44d62e33e927b;17;06;2017
720fab7d4126c148ea121a56a1f9430e8b958a7933cedb2f4523285ba0ed5e46;08;12;2017
5c861fb7681961b4e3538cef9a0af287ece71ccfcbd372a853887ce69efb7637;09;10;2017
5e39fb339b25696ef38e6e63cc4600226fbc186a8decbf3de732bb2e7129567f;13;11;2017
7bed335d83b078bb41f1d271717d9a61233d72ad8f9bfc3cf55befee8bb6302c;24;08;2018
d08a036f19a3248edb6864092de9a2a9bb4a31b2255c697cbbe6bf9f3fdd3a99;29;01;2017
6f765c5f4879d408fa03523952582dbe5cdfcd2e160e7f9b10deb05a27f5c9be;18;09;2017
fcf1f44892b770fa032efe06697c3ae1231b69d41276ed3fe898e6d5023afd4f;23;11;2018
ca2389fd3ff2027eee6f92ce4796ccdf236153c7e2ae764c515e505ccdbadea8;25;05;2017
c8ca0589cec964c4838083514c3318ff4274bea0fdd29d311b04d725be329cd0;19;11;2018
e23c3993cc4d5d4323fbe63d50770d10e5c1c61f0cba9a26e9b8611107cfac60;12;07;2017
09196dcaea153897532f6afa5cf2999b5ed49d572efbf0eec7fa4eb273c58294;04;02;2018
e4bdd1d90c774c19b71a717b3b5e43493cc2a21c8f94bae7a7ea519e2c667ba4;16;08;2018
09f6b27ed57b5ea01b8e0a99d64992aa6ee6ac1ba8a83b55334122814e4867b4;25;06;2018
e76b490f1d0b68082a95ad21c0f2584ab7d215f93175c737812b945cc3fe69a5;26;06;2017
0878985c89f1a8320a9f787b507123a1d414ef3680f0c805e8720c9a25dcbbda;21;08;2017
06b0b62952d9f8142ea49f01b2d251d116c772b74fc542f6138ae93453701aa0;03;05;2018
e0c7ad231ccf337f2c89ba7a9cbe49a86d0acb0236d05c84e0275d871a550afc;30;12;2018
1dfea6acff1037ba0b3ef0e1152e78b28706f51d342d733ac9ca5a140b569ba6;13;12;2017
acf871a1ef84847ef91c6bd233e036e8b251e34d78b012c2e7f217d1d91454c3;04;05;2017
446388ccebe5359ccb21ce7b349c15a616fe1a985b2d2858f3b6f0ba4bfbaef8;10;05;2018
93f1d813ebc672c2ba2a7ab36c3746070d5256e5d653a6501244e12002ed34f1;23;04;2018
51f1405960b393fccc5a180e76c8bba04642318b63caf2cc001a519abd2e3528;07;03;2019
847910814c8ea98896769eb51b417c4ac5b490689b08dde93714d7000f35f4ca;15;07;2018
98fcca6b87ff89fc7244df3ddca585f868f7165121b9cc491dc558f471736613;23;08;2018
21164dd6bc5d437bc4c350a798641bfe5b537b7f0e13fa9394dacbff090bed5b;16;11;2017
0ff54870fcf15503b8225b7c1063e551cc471a279ac94b1a8390afb32fd26986;22;03;2017
b8ecf500a7dbfa2fc6f1b9a5527feb857b56c3d64d3618881768380c46b3b6f4;22;06;2018
5be6e52a66408b6080546967148c628943a246aaa2946f1119ae74eef70915c4;12;05;2017
598c2d2eb68b1cd1b0e1a6877ba12223b25301e6337ca93fba8adfefa5383a6d;26;07;2017
fa7ecd103147cfea939b9844cb3ae981d258599faa6735ce00eabf8ba69cf5d3;17;08;2018
90877fe04b787aff80d258202969465311bea3b4c57c6cd2a4a5e1b844a0f207;22;08;2017
54a00c49b6115e8ee7479bc1574463ba7497839853e6d24c24b2be2c27178bc8;27;10;2017
c82e761cfb415b6c8372aa15a3765174fd5bfd3a57bddb6b40fde5334fa56991;15;11;2017
5d108b990829eca4657f708a8f93e71708d942f501de6047973c7de932a30900;16;10;2017
e8bf8d7795a509aa08c1e3aeb90344374976cbef87032bbce308d9f5827b4210;10;10;2017
628b9e3d1ffb4291b951546b3339a91f9c0590399ea44fdd5c7b5af6890de7a9;08;02;2019
d1fed1f8e974525849064ddee466f5f8fa3f08fbf4ccc7232ccad698d5396e76;18;05;2018
d5d99bc7c13b630453471cc67e6868e1e43ab3947434b00f41d3a3738fac8266;22;09;2018
42781536d30870258464247fd580449fae03076121e7502a0372331562f98ae1;22;01;2019
984cb1e4735519c12f4f657a857479c83d71295cc2508dc81dd7b85fad55f5e8;05;08;2018
240f05a7be7d7b38ecb79f8f73b1fddf167ad72330c4cdf502e276220bde4cf2;28;12;2017
375a22d559430b79558dbce77ca52b83bf7db16646cd0c9b0c517aef7e8a3af3;26;10;2017
035e9d6ab1a7632c59948c75bad0ffd8cf021a84ebe306befbd74b9fa3eb0109;31;08;2018
20df08206c13652b657851b109acf9736d3a05e7f7dca9de001b23766b53e119;10;07;2017
6335ebe4710e74b72d5de54877d787efe12369d0bbbe77ae8d7ee9cded6673ef;06;06;2017
938153bb1c89bfba4c6ad630fb06163e9e3a321e27e4cc09e3dca59e73c78f88;27;04;2018
166db6b4ca577fdac831f47a012ce2d0db5e57b6db19242b564d45d68ad8769e;28;03;2017
ce283bb63b51f87d0923e241804c3ff25e7d37415211798958ec485d75734d5a;14;01;2018
2e8cbf37660ece64f47c8a47eb3dcb48fcb7604529610f77a6fa8eb205b2dd2b;19;03;2018
1adf0c2d0be210e93ac899d1c19ae2ea0ffd2efe7e9cc06ef58420f501499b84;28;01;2019
3b1a22a45baea6e7b256c242e2a672aee699fae8e16a9358fba56f5f7a8c47ba;26;02;2019
412ed45efc4a2e2f340576f0dd7265a09d0e17b299d381d7d4cc89a7014824fb;01;12;2018
9d91d26f3a20f841b111f8ad8ebf1684d180110367a2e975264350297d6c45af;12;09;2017
0a46876d747e10d4d27134086ace8ffaa0c36f49c741ad21c275fc5222da8d81;28;08;2017
0f75fc4810badfbe02f274e2de3e5711ae07ae924bc88f5619de40026dcfd9a8;14;05;2018
d5e4c2056ce06ee7e08d5652e233e09296e09b856a126e5b87af8f33af547b5a;09;04;2018
62f9107773728272042e2a427e18cb71a04a4c19c75c83c55bdbc31d29691a4c;23;01;2017
f3db8f34c2828ae4fca35483526288a2e3048b7fc2bdcf64e3cb0c515ec1a18a;26;10;2018
f87d432ee19543d0b046aa55373eafa33ab00134512178e99e6cd0cc191e4997;19;01;2018
7afbcae44e70ac089edab121ba80afd3d849cad670f094c155b92b9fd4f975e0;22;11;2018
77370c5533b812d1660ba9f5b6b08c8be9215369b45653ac888dd8435c5dad64;31;03;2017
4c97166c6f428fc3e32e5adde9ed00a2b65dfd9b06a99319667eec6134525d4b;15;02;2017
46b04dca0762abf397460c4d048a1b8b812124eec38299c89d421a83764cbf31;31;03;2018
3500214c6a60cb82f5414f3e7ed6dbf5464bb22f230d40d31685681e4b9eb15b;23;05;2017
65947695c512b6c7d4432e0c68198bb34ff98a7502c416a8d35ed71d81541732;18;11;2018
b20b89d6ea9b51d6926ede9804417bd8f52063b37e69aa7b94b636a70cfbc829;15;04;2018
5e291364a4f264cafb68cf0c7c1ca5633911d30377db8cf1988d3bbdeab054f9;25;02;2019
f5515725799b8bd0a5f19f8a3256f45c25825ed3ddd9d0002ef0e44ea379f5bb;29;08;2017
aef413d0dfbcbbd3847b65a12e03287fee12ff9367aacbab0b20e102d8e45c6d;03;02;2019
1184fb8984a19d5bc3d03f9a84ca7e2fa809709c559695d92534e233e6b96c92;10;11;2017
4c36b1d38a3f5438ee2eaff56145d4c279ded388a929fed16aeb5b9749317a1c;02;11;2018
20095cf8c7020715d06afe70372451747035f63d61afe8b38a1c2857b53910b8;08;03;2017
4843effeb3e2b2a10c3d34d143575607071e65f1586f4b566265ebca404e67b3;22;09;2017
7bf43221d3ad26467c41173e05b65f23469c31d890d4f06320b611c320665761;16;04;2018
f76de70eadd23b88d5f7dd5cf277e9ffd2a8864e3fdcf43c4a30f2469567a12a;18;03;2018
1a760e0bba7348dd4aecd67fb24e2b047a9334d8a9c9aaaa547a15b837d3bb06;07;01;2019
e4ef48b3844e0368fe4eec6173151cd71b1edcc56aa7a642e11b0f3702a104db;30;01;2018
5d14a5cc1a380f42bf54eff676d1f76bdd05d77f683ed28aa68d96c20fa1d90c;04;09;2017
b79e6f973ca14df5359cecd23e503f94556a44162d1cb8a8f99dd10603b16df2;26;07;2018
692ac7467b495611336fc48f062652995a8ccd86828ba5fe04f28dd2f04f4976;02;09;2018
54da0dfd74d07c241e6aa3a9da729dfce0b7b360cbabb584ce1e040ce7187683;14;04;2018
96842a34bff62ab6abeb07efe5a40e5ac4b75e911e061c87f4d5907c162c949a;01;10;2018
8e94165532423e6550304b0599479a276b2f75273722f322791ab3c84f9f60fd;31;10;2017
84da159e0e9b9587b840590a590e9472f4c6f8a1ff08498685c7f0c21c9c8c56;14;09;2018
7669da678530955ade1bc87ae3324479b89c5a33f991423e6a8cd07942d7f5b0;30;03;2017
a690138502aee1f6ab491f8ab5cfb646afe47b81298ee706e9ac628069b2344c;22;07;2018
4934ff7676c61ce09fc7d235245919026e6e461b649c6b00e356b89588f1b5ae;16;01;2018
3f05dd14b44d585466d06b460cd0e9ad2da05ed117c05f857af9ddcb301b94aa;08;10;2018
8cfb0dd88f5aa5dd6c2617a3927b2302df3e076bd259ea8964a6a820f5915eba;21;04;2018
17ff0c97961b6bf27c9914b8ad6705e2bcf6ce1c566f9de32fe65a42632028d2;22;11;2017
2f70fbc5229d39c9e228407a6b43c93aef9f73d8c771de01ca62cd16c4347126;21;09;2017
3da475228d8c6bb3f11cec0409999fd03d6cd4ac01f2215c226270d8b4592fa7;25;08;2017
f2086bc3d2f7c83cea6587df2379a03d0a68d3b3165034521d2d0f8f9c96f69c;29;09;2018
1a99b8019ae78c5380043e191edb95438b50ca491303facf99feaef1d9f61c2c;20;12;2017
ff3a999a2c36654888c03cea9e7db36850ece1b32208b4ad85b9b03475897add;28;12;2018
b30f25b13426447828449d9828a5a12085357fc71735293d0f17966767c336ce;23;03;2018
58d3e2cee7298065a55060dfb9f2e848a1533d349a15036af6c7d4c7f480beef;23;10;2017
f14c052a414c7431cd3486d806db8d6f92913b36874dbe07cb1e518157cb46bd;01;12;2017
7250aad2b3f7be78cc794020a43981f5579b2280a2ce4df6916783a80a2c4329;30;12;2017
8f09f2783f28ac7ec97b6cbbc1fdbabd8c3cbc76f0913e092a7213bfbd59b46f;11;07;2017
661453d383d953389d16a579dbc37401b1aa9d93307ac0696aac28e5c5edab7f;03;06;2018
e9c47d120b3d11970e7ec8f080d64ee31869ca0a46867d30913a8bc1385f6279;11;04;2017
74930dad4c12e0690eae3ee54903baaeef5a01bceee0f8dd1dfde461345bc284;17;09;2018
9512bf296630de4d2cc57bfd35707a8abaec9afd9a88dfd34a5c8353ec350cd3;20;01;2019
8a4c8cf5a60de7b2a9139800a91a45de18b21012f61fff98effc21f4de210382;23;07;2018
dcbf139664dbb974ca169661c1a405135070e71fdefb36a5b2dca60d13a52d1b;09;02;2019
4e17fb768741eaa3edab21ce9605bf009aeab83a30825a7eeb75bcf9d36abdb7;29;09;2017
86ee19ba615b42be0be397d939df8b6debb1f58509020ef4be1eabb36eab0e6c;07;08;2017
f6557ebfadd1dfb7d04ad55909e8310cf10617c32642d5d9ebb35affa12d5bf6;08;06;2017
f21ea4b0403404b33a5b8c8b862d515368ba35db155339cd361c4b762aebb917;05;04;2017
6d5a5605fa84349b5f6c9df9ff86bb6dfbb05dbdd0cb91515168de461dbc76f8;04;08;2018
a232823f2568782198fd2fbf6dd38391b7b5cef3af34d51d3faa1016ff73f76b;29;12;2018
82fcc07f4b3d723f63f473c60fb8bfb94c3207607d50e64b6a3bd12ac86b6994;22;06;2017
190ad590864930e40281700bb88ce2e0fdd8f49c99afc3cd55bfb1b5224ab15c;21;01;2019
2518a4068f9dc3a8adf8ea5c4e1fa48c7d127effaa525d59585d502eca98d00a;25;10;2017
07a5ba503213678b73e36000fec5ea0ce75219a9f4e2869da94dc318248f5d53;15;05;2017
43467632aeba4898831134fd1bde34aff198ceea39f4e66962e18bbfbc90f356;18;05;2017
6fddacdeb6b3ea562a7f14a5bb0b9ed02d4bdf4e0869e54691eeee483a352890;11;05;2018
f588ebf6c253402a02bafd2783348611cc88219139b150526fd58cfa8273d23c;02;03;2018
9400579534efc16ed975464560e47805c1a6ef9dfba1de4ea81cab372fbfeffd;20;06;2017
a7e91ef5f139a87a2c6ba5a8c5399326ad69ee9fad6c4d912489409c9f996287;05;12;2017
40f364c8755e80d03e00718cad3a06611d1bec8eacb73765a3a0bbf173c34f77;26;08;2018
a3674e3a559c5d43de62b72de43e920f320b5b5851bcdd66c55f0becc8524d52;12;12;2017
13257b33d11c5ed0fe0a565cd05de72edd42dfbb9fa9884106fba9e0e520a09f;01;07;2017
